Date,Open,High,Low,Close,Volume,Adj Close
2016-01-07,91.470001,93.349998,91.43,91.900002,6778600,91.900002
2016-01-06,93.900002,94.639999,92.540001,93.120003,6869700,93.120003
2016-01-05,95.139999,96.00,94.800003,95.720001,4253100,95.720001
2016-01-04,94.449997,95.639999,93.959999,95.57,5359400,95.57
2015-12-31,96.410004,96.68,95.709999,96.07,2905400,96.07
2015-12-30,96.919998,97.50,96.519997,96.900002,3161600,96.900002
2015-12-29,96.669998,97.769997,96.349998,97.269997,3239800,97.269997
2015-12-28,95.980003,96.309998,95.699997,96.089996,3606800,96.089996
2015-12-24,95.889999,96.519997,95.870003,96.300003,1382700,96.300003
2015-12-23,95.50,96.599998,95.43,96.300003,4426800,96.300003
2015-12-22,94.309998,95.410004,94.00,94.870003,4609100,94.870003
2015-12-21,93.019997,93.889999,92.690002,93.610001,7308600,93.610001
2015-12-18,93.309998,94.330002,92.339996,92.339996,8509300,92.339996
2015-12-17,95.129997,95.730003,93.839996,93.870003,4792200,93.870003
2015-12-16,93.970001,95.43,93.440002,95.129997,9782500,95.129997
2015-12-15,93.68,94.660004,93.230003,93.260002,6618000,93.260002
2015-12-14,93.300003,93.57,92.199997,93.029999,6711400,93.029999
2015-12-11,93.010002,94.629997,92.93,93.300003,9927400,93.300003
2015-12-10,94.07,94.669998,91.629997,93.870003,5750000,93.870003
2015-12-09,93.580002,95.580002,93.209999,94.160004,6888900,94.160004
2015-12-08,94.980003,95.32,93.900002,94.230003,7010100,94.230003
2015-12-07,95.620003,96.25,95.370003,95.910004,4673000,95.910004
2015-12-04,94.989998,96.629997,94.790001,95.730003,9216200,95.730003
2015-12-03,95.300003,95.800003,94.400002,94.699997,6082000,94.699997
2015-12-02,96.459999,96.830002,95.129997,95.25,3887800,95.25
2015-12-01,96.040001,97.449997,96.019997,96.699997,4595500,96.699997
2015-11-30,97.059998,97.25,95.940002,96.050003,5386600,96.050003
2015-11-27,97.010002,97.169998,96.540001,96.800003,1919700,96.800003
2015-11-25,97.410004,98.050003,97.25,97.269997,4336400,97.269997
2015-11-24,97.57,97.879997,96.459999,97.360001,5344100,97.360001
2015-11-23,98.18,98.580002,97.889999,98.089996,4177100,98.089996
2015-11-20,98.639999,99.550003,98.139999,98.220001,4898200,98.220001
2015-11-19,97.970001,98.889999,97.830002,98.300003,4366600,98.300003
2015-11-18,97.629997,97.860001,96.839996,97.709999,4202000,97.709999
2015-11-17,98.169998,98.300003,97.400002,97.550003,4528800,97.550003
2015-11-16,96.559998,97.860001,96.379997,97.830002,5098700,97.830002
2015-11-13,98.720001,99.639999,96.389999,96.480003,6218900,96.480003
2015-11-12,97.260002,99.730003,96.879997,99.220001,8808200,99.220001
2015-11-11,99.040001,99.400002,98.07,98.260002,2165900,98.260002
2015-11-10,98.830002,99.419998,97.949997,98.68,2738500,98.68
2015-11-09,100.599998,100.839996,99.209999,99.660004,3164700,99.020007
2015-11-06,100.040001,100.800003,99.290001,100.800003,2735100,100.152685
2015-11-05,100.43,100.989998,99.720001,100.800003,2832400,100.152685
2015-11-04,100.419998,101.040001,100.00,100.330002,3116100,99.685702
2015-11-03,99.379997,100.339996,98.800003,100.00,3090000,99.35782
2015-11-02,98.82,99.580002,98.349998,99.389999,3067500,98.751736
2015-10-30,99.029999,99.18,98.260002,98.410004,4010900,97.778034
2015-10-29,99.239998,99.610001,98.239998,99.050003,3287300,98.413923
2015-10-28,99.370003,99.519997,98.169998,99.32,3829900,98.682186
2015-10-27,99.800003,99.970001,98.709999,98.879997,3396500,98.245009
2015-10-26,100.620003,100.980003,100.00,100.230003,2701000,99.586346
